Date,Close
2025-07-29,69.15
2025-07-30,68.88
2025-07-31,68.37
2025-08-01,66.71
2025-08-04,67.64
2025-08-05,67.48
2025-08-06,67.08
2025-08-07,67.98
2025-08-08,67.79
2025-08-11,67.54
2025-08-12,67.63
2025-08-13,67.85
2025-08-14,68.18
2025-08-15,68.15
2025-08-18,68.32
2025-08-19,68.8
2025-08-20,69.07
2025-08-21,68.77
2025-08-22,69.14
2025-08-25,68.75
2025-08-26,68.2
2025-08-27,68.41
2025-08-28,68.19
2025-08-29,67.67
2025-09-01,67.68
2025-09-02,66.6
2025-09-03,66.98
2025-09-04,67.59
2025-09-05,67.85
2025-09-08,68.21
2025-09-09,68.12
2025-09-10,67.88
2025-09-11,68.07
2025-09-12,68.17
2025-09-15,68.59
2025-09-16,67.78
2025-09-17,68.01
2025-09-18,68.73
2025-09-19,68.38
2025-09-22,68.19
2025-09-23,68.43
2025-09-24,67.99
2025-09-25,67.59
2025-09-26,68.02
2025-09-29,68.32
2025-09-30,68.54
2025-10-01,69.42
2025-10-02,70.0
2025-10-03,70.31
2025-10-06,70.5
2025-10-07,70.15
2025-10-08,70.57
2025-10-09,70.26
2025-10-10,69.36
2025-10-13,69.8
2025-10-14,69.59
2025-10-15,70.26
2025-10-16,70.59
2025-10-17,69.98
2025-10-20,70.73
2025-10-21,71.0
2025-10-22,70.51
2025-10-23,70.88
2025-10-24,71.17
2025-10-27,71.4
2025-10-28,71.13
2025-10-29,70.64
2025-10-30,70.44
2025-10-31,69.8
2025-11-03,69.54
2025-11-04,69.37
2025-11-05,69.5
2025-11-06,68.87
2025-11-07,68.3
2025-11-10,69.0
2025-11-11,69.94
2025-11-12,70.39
2025-11-13,69.79
2025-11-14,69.11
2025-11-17,68.61
2025-11-18,67.36
2025-11-19,67.45
2025-11-20,67.55
2025-11-21,67.47
2025-11-24,67.48
2025-11-25,68.04
2025-11-26,68.94
2025-11-27,68.99
2025-11-28,69.27
2025-12-01,69.06
2025-12-02,68.92
2025-12-03,68.91
2025-12-04,69.26
2025-12-05,69.25
2025-12-08,68.97
2025-12-09,68.89
2025-12-10,68.93
2025-12-11,69.3
2025-12-12,68.98
2025-12-15,69.39
2025-12-16,69.15
2025-12-17,68.91
2025-12-18,69.52
2025-12-19,69.75
2025-12-22,69.63
2025-12-23,70.01
2025-12-29,70.13
2025-12-30,70.47
2026-01-02,70.62
2026-01-05,71.6
2026-01-06,71.92
2026-01-07,71.78
2026-01-08,71.44
2026-01-09,72.14
2026-01-12,72.32
2026-01-13,72.22
2026-01-14,72.01
2026-01-15,72.65
2026-01-16,72.86
2026-01-19,71.49
2026-01-20,71.35
2026-01-21,71.01
2026-01-22,71.83
2026-01-23,71.66
2026-01-26,71.71
2026-01-27,71.88
2026-01-28,71.43
2026-01-29,71.51
2026-01-30,71.9
2026-02-02,72.42
2026-02-03,71.75
2026-02-04,71.55
2026-02-05,71.15
2026-02-06,71.57
2026-02-09,71.96
2026-02-10,72.04
2026-02-11,71.97
2026-02-12,71.75
2026-02-13,71.97
2026-02-16,71.71
2026-02-17,72.14
2026-02-18,72.86
2026-02-19,72.6
2026-02-20,73.3
2026-02-23,72.37
2026-02-24,72.77
2026-02-25,73.2
2026-02-26,73.24
2026-02-27,73.8
2026-03-02,72.62
2026-03-03,70.29
2026-03-04,71.33
2026-03-05,70.62
2026-03-06,70.62
2026-03-09,69.34
2026-03-10,70.57
2026-03-11,70.07
2026-03-12,69.94
2026-03-13,69.6
2026-03-16,69.86
2026-03-17,70.27
2026-03-18,69.5
2026-03-19,67.61
2026-03-20,66.52
2026-03-23,66.75
2026-03-24,67.0
2026-03-25,68.0
2026-03-26,67.09
2026-03-27,66.33
2026-03-30,67.02
2026-03-31,67.44
2026-04-01,69.02
2026-04-02,68.99
2026-04-07,68.21
2026-04-08,70.99
2026-04-09,71.04
2026-04-10,71.21
2026-04-13,71.27
2026-04-14,72.34
2026-04-15,72.27
2026-04-16,72.38
2026-04-17,73.94
2026-04-20,73.3
2026-04-21,72.82
2026-04-22,72.61
2026-04-23,72.65
2026-04-24,72.55
2026-04-27,72.24
2026-04-28,71.73
2026-04-29,71.38
2026-04-30,72.29
2026-05-04,71.65
2026-05-05,72.48
2026-05-06,73.93
2026-05-07,73.07
2026-05-08,72.8
2026-05-11,72.85
2026-05-12,71.88
2026-05-13,72.59
2026-05-14,73.31
2026-05-15,72.23
2026-05-18,72.73
2026-05-19,72.73
2026-05-20,73.83
2026-05-21,73.8
2026-05-22,74.54
2026-05-25,75.72
2026-05-26,74.85
2026-05-27,74.97
2026-05-28,74.7
2026-05-29,74.78
2026-06-01,74.64
